时间,1#给煤机瞬时流量输出信号,高温省煤器进口O2浓度（左）,高温省煤器进口O2浓度（右）,一次风转速,二次风转速
2022-11-14 00:00:00,6.246,1.977,1.716,39.41,21.186
2022-11-14 00:00:05,6.138,1.928,1.747,39.418,21.632
2022-11-14 00:00:10,6.032,1.924,1.735,39.41,21.797
2022-11-14 00:00:15,5.993,1.955,1.676,39.413,21.973
2022-11-14 00:00:20,6.015,1.924,1.697,39.413,21.955
2022-11-14 00:00:25,5.994,1.83,1.762,39.413,21.978
2022-11-14 00:00:30,6.16,1.797,1.813,39.406,21.985
2022-11-14 00:00:35,6.121,1.822,1.924,39.41,22.193
2022-11-14 00:00:40,6.262,1.918,1.854,39.41,22.193
2022-11-14 00:00:45,6.246,2.01,1.865,39.413,22.19
2022-11-14 00:00:50,6.128,2.13,1.833,39.41,22.197
2022-11-14 00:00:55,6.153,2.183,1.803,39.41,22.197
2022-11-14 00:01:00,6.141,2.21,1.856,39.406,22.193
2022-11-14 00:01:05,6.151,2.208,1.936,39.41,22.193
2022-11-14 00:01:10,6.153,2.203,1.931,39.41,22.19
2022-11-14 00:01:15,6.001,2.175,1.95,39.413,22.197
2022-11-14 00:01:20,6.033,2.203,1.902,39.418,22.19
2022-11-14 00:01:25,6.002,2.224,1.95,39.41,22.193
2022-11-14 00:01:30,6.03,2.278,1.942,39.41,22.197
2022-11-14 00:01:35,6.026,2.238,1.972,39.41,22.197
2022-11-14 00:01:40,5.999,2.2,1.998,39.41,22.197
2022-11-14 00:01:45,6.154,2.257,2.049,39.413,22.193
2022-11-14 00:01:50,6.133,2.23,2.079,39.413,22.193
2022-11-14 00:01:55,6.152,2.196,2.1,39.414,22.19
2022-11-14 00:02:00,6.01,2.189,2.079,39.406,22.197
2022-11-14 00:02:05,6.013,2.179,2.054,39.413,22.197
2022-11-14 00:02:10,5.999,2.19,2.095,39.41,22.197
2022-11-14 00:02:15,5.995,2.19,2.072,39.41,22.197
2022-11-14 00:02:20,6.005,2.179,2.14,39.41,22.19
2022-11-14 00:02:25,6.033,2.19,2.16,39.41,22.19
2022-11-14 00:02:30,5.993,2.204,2.174,39.406,22.193
2022-11-14 00:02:35,6.003,2.282,2.144,39.413,22.193
2022-11-14 00:02:40,6.04,2.328,2.115,39.418,22.193
2022-11-14 00:02:45,5.999,2.282,2.064,39.41,22.197
2022-11-14 00:02:50,6.03,2.222,2.086,39.41,22.19
